timestamp,node,rate_after,rate_before
2000008376,2,100.0,100.0
2000012576,2,100.0,100.0
2000016776,2,100.0,100.0
2000020976,2,100.0,100.0
2000025176,2,100.0,100.0
2000029376,2,100.0,100.0
2000033576,2,100.0,100.0
2000037776,2,100.0,100.0
2000041976,2,100.0,100.0
2000046176,2,100.0,100.0
2000050376,2,100.0,100.0
2000054576,2,100.0,100.0
2000058776,2,100.0,100.0
2000062976,2,100.0,100.0
2000067176,2,100.0,100.0
2000071376,2,100.0,100.0
2000075576,2,100.0,100.0
2000079776,2,100.0,100.0
2000083976,2,100.0,100.0
2000088176,2,100.0,100.0
2000092376,2,100.0,100.0
2000096576,2,100.0,100.0
2000100776,2,100.0,100.0
2000104976,2,100.0,100.0
2000109176,2,100.0,100.0
2000113376,2,100.0,100.0
2000117576,2,100.0,100.0
2000121776,2,100.0,100.0
2000125976,2,100.0,100.0
2000130176,2,100.0,100.0
2000134376,2,100.0,100.0
2000138576,2,100.0,100.0
2000142776,2,100.0,100.0
2000146976,2,100.0,100.0
2000151176,2,100.0,100.0
2000155376,2,100.0,100.0
2000159576,2,100.0,100.0
2000163776,2,100.0,100.0
2000167976,2,100.0,100.0
2000172176,2,100.0,100.0
2000176376,2,100.0,100.0
2000180576,2,100.0,100.0
2000184776,2,100.0,100.0
2000188976,2,100.0,100.0
2000193176,2,100.0,100.0
2000197376,2,100.0,100.0
2000201576,2,100.0,100.0
2000205776,2,100.0,100.0
2000209976,2,100.0,100.0
2000214176,2,100.0,100.0
2000218376,2,100.0,100.0
2000222576,2,100.0,100.0
2000226776,2,100.0,100.0
2000230976,2,100.0,100.0
2000235176,2,100.0,100.0
2000239376,2,100.0,100.0
2000243576,2,100.0,100.0
2000247776,2,100.0,100.0
2000251976,2,100.0,100.0
2000256176,2,100.0,100.0
2000260376,2,100.0,100.0
2000264576,2,100.0,100.0
2000268776,2,100.0,100.0
2000272976,2,100.0,100.0
2000277176,2,100.0,100.0
2000281376,2,100.0,100.0
2000285576,2,100.0,100.0
2000289776,2,100.0,100.0
2000293976,2,100.0,100.0
2000298176,2,100.0,100.0
2000302376,2,100.0,100.0
2000306576,2,100.0,100.0
2000310776,2,100.0,100.0
2000314976,2,100.0,100.0
2000319176,2,100.0,100.0
2000323376,2,100.0,100.0
2000327576,2,100.0,100.0
2000331776,2,100.0,100.0
2000335976,2,100.0,100.0
2000340176,2,100.0,100.0
2000344376,2,100.0,100.0
2000348576,2,100.0,100.0
2000352776,2,100.0,100.0
2000356976,2,100.0,100.0
2000361176,2,100.0,100.0
2000365376,2,100.0,100.0
2000369576,2,100.0,100.0
2000373776,2,100.0,100.0
2000377976,2,100.0,100.0
2000382176,2,100.0,100.0
2000386376,2,100.0,100.0
2000390576,2,100.0,100.0
2000394776,2,100.0,100.0
2000398976,2,100.0,100.0
2000403176,2,100.0,100.0
2000407376,2,100.0,100.0
2000411576,2,100.0,100.0
2000415776,2,100.0,100.0
2000419976,2,100.0,100.0
2000424176,2,100.0,100.0
2000428376,2,100.0,100.0
2000432576,2,100.0,100.0
2000436776,2,100.0,100.0
2000440976,2,100.0,100.0
2000445176,2,100.0,100.0
2000449376,2,100.0,100.0
2000453576,2,100.0,100.0
2000457776,2,100.0,100.0
2000461976,2,100.0,100.0
2000466176,2,100.0,100.0
2000470376,2,100.0,100.0
2000474576,2,100.0,100.0
2000478776,2,100.0,100.0
2000482976,2,100.0,100.0
2000487176,2,100.0,100.0
2000491376,2,100.0,100.0
2000495576,2,100.0,100.0
2000499776,2,100.0,100.0
2000503976,2,100.0,100.0
2000508176,2,100.0,100.0
2000512376,2,100.0,100.0
2000516576,2,100.0,100.0
2000520776,2,100.0,100.0
2000524976,2,100.0,100.0
2000529176,2,100.0,100.0
2000533376,2,100.0,100.0
2000537576,2,100.0,100.0
2000541776,2,100.0,100.0
2000545976,2,100.0,100.0
2000550176,2,100.0,100.0
2000554376,2,100.0,100.0
2000558576,2,100.0,100.0
2000562776,2,100.0,100.0
2000566976,2,100.0,100.0
2000571176,2,100.0,100.0
2000575376,2,100.0,100.0
2000579576,2,100.0,100.0
2000583776,2,100.0,100.0
2000587976,2,100.0,100.0
2000592176,2,100.0,100.0
2000596376,2,100.0,100.0
2000600576,2,100.0,100.0
2000604776,2,100.0,100.0
2000608976,2,100.0,100.0
2000613176,2,100.0,100.0
2000617376,2,100.0,100.0
2000621576,2,100.0,100.0
2000625776,2,100.0,100.0
2000629976,2,100.0,100.0
2000634176,2,100.0,100.0
2000638376,2,100.0,100.0
2000642576,2,100.0,100.0
2000646776,2,100.0,100.0
2000650976,2,100.0,100.0
2000655176,2,100.0,100.0
2000659376,2,100.0,100.0
2000663576,2,100.0,100.0
2000667776,2,100.0,100.0
2000671976,2,100.0,100.0
2000676176,2,100.0,100.0
2000680376,2,100.0,100.0
2000684576,2,100.0,100.0
2000688776,2,100.0,100.0
2000692976,2,100.0,100.0
2000697176,2,100.0,100.0
2000701376,2,100.0,100.0
2000705576,2,100.0,100.0
2000709776,2,100.0,100.0
2000713976,2,100.0,100.0
2000718176,2,100.0,100.0
2000722376,2,100.0,100.0
2000726576,2,100.0,100.0
2000730776,2,100.0,100.0
2000734976,2,100.0,100.0
2000739176,2,100.0,100.0
2000743376,2,100.0,100.0
2000747576,2,100.0,100.0
2000751776,2,100.0,100.0
2000755976,2,100.0,100.0
2000760176,2,100.0,100.0
2000764376,2,100.0,100.0
2000768576,2,100.0,100.0
